Igbo,English
"Osimhen meriri MVP, Lookman kwuru ihe nrite MOTM na mmeri 6-0 Eagles meriri Sao Tome","Osimhen Wins MVP, Lookman Claims MOTM Award In Eagles’ 6-0 Win Against Sao Tome"
"2023 AFCONQ: Osimhen Bags Hat-trick, Boniface mere akara mpụta ya na enyemaka dịka Super Eagles Thrash São Tomé 6-0","2023 AFCONQ: Osimhen Bags Hat-trick, Boniface Marks Debut With Assist As Super Eagles Thrash São Tomé 6-0"
Bellingham bụ onye ọkpụkpọ zuru oke - Carvajal,Bellingham Is A Very Complete Player –Carvajal
AKWỤKWỌ: Otu m siri mee ka nwa m kwenye ka ọ gbaa egwu maka Naijiria - Nna Torunarigha,EXCLUSIVE: How I Convinced My Son To Play For Nigeria — Torunarigha’s Father
2023 AFCONQ: Mịnịsta na-ahụ maka egwuregwu na-ebo Super Eagles ebubo ịmegharị mmeri nke ụkwụ mbụ 10-0 megide São Tomé,2023 AFCONQ: Sports Minister Charges Super Eagles To Replicate 10-0 First Leg Win Against São Tomé
Martial adịghị mma nke ukwuu igwu egwu na Man United -Cole,Martial Not Good Enough To Play At Man United –Cole
2023 AFCONQ: Ọ ga-esi ike ịkụ Sao Tome na Principe 10-0 ọzọ - Peseiro,2023 AFCONQ: It Will Be Difficult To Beat Sao Tome And Principe 10-0 Again — Peseiro
2023 AFCON Qualifier: Anyị chọrọ igosi ezigbo ihe ngosi maka ndị Fans Uyo - Troost-Ekong,2023 AFCON Qualifier: We Want To Put A Good Show For Uyo Fans — Troost-EKong
"Peseiro: Ọnụ ụzọ Super Eagles ka mepere ndị egwuregwu ọhụrụ; Ebumnuche AFCON m, ebumnuche iko mba ụwa nke 2026","Peseiro: Super Eagles Door Still Open To New Players; My AFCON Target, 2026 World Cup Ambition"
2023 Qualifier AFCON: Orban merụrụ ahụ n'ọpụpụ na Super Eagles Vs Sao Tome,2023 AFCON Qualifier: Orban Ruled Out Of Super Eagles Vs Sao Tome With Injury
Enyi na enyi: Namibia jide South Africa ka ha seere na Johannesburg,Friendly: Namibia Hold South Africa To Draw In Johannesburg
Rohr adaghị Benin Republic iru eru maka 2023 AFCON na mmeri na Mozambique,Rohr Fails To Qualify Benin Republic For 2023 AFCON With Defeat In Mozambique
Nanị: Orban Ọnụ onye otu klọb Torunarigha Otu n'ime ndị na-agbachitere kacha mma n'ụwa,EXCLUSIVE: Orban Rates Clubmate Torunarigha One Of World’s Best Defenders
Nelson meriri 2022/23 EPL's GameChanger Of The Season Award,Nelson Wins 2022/23 EPL’s Gamechanger Of The Season Award
Super Eagles 2026 W/Cup na-eru eru South Africa ga-egwu egwuregwu enyi na enyi abụọ,Super Eagles 2026 W/Cup Qualifying Opponent South Africa To Play Two Friendly Games
"Nanị: Olympian, Ndah tara ndị na-azụ ihe mgbaru ọsọ maka ahụhụ ndị Super Eagles na-eche nche.","EXCLUSIVE: Olympian, Ndah Blames Goalkeeper Trainers For Super Eagles’ Goalkeeping Woes"
Nanị: Igwuru egwu Super Eagles Nrọ M Ọ bụghị Togo - Orban,EXCLUSIVE: Playing For Super Eagles My Dream Not Togo — Orban
Naanị: Sao Tome ga-afụ ụfụ mana enweghị ike ịta - Babangida,Exclusive: Sao Tome Will Only Bark But Can’t Bite –Babangida
Sancho agbaala egwuregwu ikpeazụ ya maka Man United -Collymore,Sancho Has Played His Last Game For Man United –Collymore
"Nanị: Super Eagles na-asọpụrụ Sao Tome, mana ha chọrọ nnukwu mmeri ọzọ - Chukwueze","EXCLUSIVE: Super Eagles Respect Sao Tome, But Want Another Big Win — Chukwueze"
2023 AFCONQ: Anyị nọ ebe a iji weda Super Eagles ala - Sao Tome Captain na-etu ọnụ.,2023 AFCONQ: We Are Here To Humiliate Super Eagles — Sao Tome Captain Boasts
Inter Milan bụ otu asọmpi -Zanetti,Inter Milan Are A Competitive Team –Zanetti
Nanị: Ozi m na Super Eagles - Orban,EXCLUSIVE: My Mission In Super Eagles — Orban
Nanị: Shorunmu na-arịọ ndị na-eche nche otu egwuregwu Naịjirịa ka ha kwenye na onwe ha maka ọganiihu obodo.,EXCLUSIVE: Shorunmu Urges Nigerian League Goalkeepers To Believe In Themselves For National Success
Adeleye anabatala Super Eagles ịkpọ oku,Adeleye Relishes Super Eagles Call-Up
"Van Dijk na-enweta mmachibido iwu, £ 100,000 dị mma maka ahịrị onye ọka iwu","Van Dijk Gets Extended Ban, £100,000 Fine For Referee Row"
IHE: Boniface Keen Ga-ebu Fọm Club banye Super Eagles,EXCLUSIVE: Boniface Keen To Carry Club Form Into Super Eagles
"EPL: Liverpool, ọ bụghị Arsenal bụ nnukwu ihe iyi egwu Man City - Pennant","EPL: Liverpool, Not Arsenal Is Man City’s Biggest Threat –Pennant"
Nanị: Ihe kpatara m ji hapụ ohere ịgbara Super Eagles na 2018 - Torunarigha,EXCLUSIVE: Why I Turned Down Chance To Play For Super Eagles In 2018 — Torunarigha
Diaz kwadoro mmụọ mmeri na Real Madrid,Diaz Lauds Winning Spirit At Real Madrid
Man United na-enwe mmerụ ahụ ọhụrụ ka Amrabat bịanyere aka n'akwụkwọ ọhụrụ na-apụ na Squad Morocco,Man United Suffer Fresh Injury Blow As New Signing Amrabat Pulls Out Of Morocco Squad
2023 AFCONQ: Super Eagles agaghị emechu anyị ihu ọzọ - Sao Tome and Principe Boss Eusebio,2023 AFCONQ: Super Eagles Won’t Disgrace Us Again — Sao Tome And Principe Boss Eusebio
Saudi Pro-League: Top 6 kacha azụta na 2023 windo okpomọkụ,Saudi Pro-League: Top 6 Biggest Buys In 2023 Summer Window
Njikọ Saudi nwere ike ịdị mma karịa Ligue 1 - Neymar,Saudi League Might Be Better Than Ligue 1 —Neymar
2023 AFCONQ: Anyị ga-egosi Sao Tome na Principe enweghị ebere - Olorunleke,2023 AFCONQ: We Will Show Sao Tome And Principe No Mercy — Olorunleke
2023 Qualifier AFCON: Uzoho kwadoro ibido na mgbaru ọsọ megide Sao Tome and Principe,2023 AFCON Qualifier: Uzoho Favoured To Start In Goal Against Sao Tome And Principe
2023 AFCONQ: Ihe kpatara Super Eagles ga-eji bịaruo egwuregwu São Tomé dị ka ngwụcha iko mba ụwa -Babayaro,2023 AFCONQ: Why Super Eagles Must Approach São Tomé Game Like World Cup Final —Babayaro
2023 AFCONQ: Adị m njikere igosipụta uru m bara megide Sao Tome -Torunarigha,2023 AFCONQ: I’m Ready To Prove My Worth Against Sao Tome –Torunarigha
Iso ntozu Iko Mbaụwa 2026: Super Eagles meriri Lesotho na egwuregwu mbụ,2026 World Cup Qualifiers: Super Eagles Tackle Lesotho In First Game
Alisson họpụtara maka nchekwa Premier League nke ọnwa maka Ọgọst,Alisson Nominated For Premier League Save Of The Month For August
"2023 AFCONQ: Ghana meriri Central Africa Republic, tozuru oke AFCON nke iri","2023 AFCONQ: Ghana Beat Central Africa Republic, Qualify For 10th Consecutive AFCON"
"2023 Qualifier AFCON: Super Eagles Change Hotel, Kwaga Sheraton","2023 AFCON Qualifier: Super Eagles Change Hotel, Move To Sheraton"
"NFF Ekele 2023 Ballon d'Or Nominees - Osimhen, Oshoala","NFF Hails 2023 Ballon d’Or Nominees – Osimhen, Oshoala"
Itozu AFCON 2023: Ndị Fans gbagoro ka Peseiro gbochiri ha ọzụzụ Super Eagles,2023 AFCON Qualifier: Fans Kick As Peseiro Bars Them From Super Eagles’ Training
Super Eagles chọsiri ike ịnabata Mịnịsta na-ahụ maka egwuregwu ọhụrụ Enoh na mmeri ha meriri Sao Tome,Super Eagles Eager To Welcome New Sports Minister Enoh With Resounding Win Over Sao Tome
2023 AFCONQ: Akwa Ibom State na-ekwe nkwa Super Eagles na nkwado zuru oke n'ihu ọgụ São Tomé,2023 AFCONQ: Akwa Ibom State Assures Super Eagles Of Full Support Ahead São Tomé Clash
2023 Qualifier AFCON: Sao Tome And Principe Storm Uyo Maka Super Eagles,2023 AFCON Qualifier: Sao Tome And Principe Storm Uyo For Super Eagles
Nanị: Gosila Sao Tome ebere -Dosu na-agwa Ugo,Exclusive: Show No Mercy To Sao Tome –Dosu Tells Eagles
Nanị: Osimhen ka nọkwa na ugo enweghị mgbagha ọnụọgụ mbụ -Esin,Exclusive: Osimhen Remains Eagles Undisputed Number One Striker –Esin
Kroos kwesiri inweta Ballon d'Or ise -Joselu,Kroos Should Have Won Five Ballon d’Ors –Joselu
2023 Qualifier AFCON: Ụlọ zuru ezu na Uyo ka Super Eagles na-amalite nkwado maka ọgụ Sao Tome,2023 AFCON Qualifier: Full House In Uyo As Super Eagles Begin Preparation For Sao Tome Clash
Nanị: Super Eagles nwere ike ibuli 2023 AFCON aha –Ugbade,Exclusive: Super Eagles Can Lift 2023 AFCON Title –Ugbade
Kepa kwuru na ọ hapụrụ Chelsea dị ka 'Project abụghị nke ziri ezi',Kepa Claims He Left Chelsea As ‘Project Was Not The Right One’
"Nanị: Osimhen, Mmekọrịta Boniface ga-egbu egbu -Unuanel","Exclusive: Osimhen, Boniface Partnership Will Be Deadly –Unuanel"
"2023 AFCONQ: Orban, Torunarigha, anọ ndị ọzọ bịarutere ogige Super Eagles","2023 AFCONQ: Orban, Torunarigha, Four Others Arrive Super Eagles Camp"
2023 Qualifier AFCON: Super Eagles amalitela nkwado maka ọgụ Sao Tome na Principe.,2023 AFCON Qualifier: Super Eagles Begin Preparation For Sao Tome And Principe Clash
Ihe kpatara m ji kpebie isonye na Brighton na mbinye ego - Fati,Why I Decided To Join Brighton On Loan —Fati
"Saudi Pro-League na-atọ ụtọ - Al Ettifaq bịanyere aka n'akwụkwọ ọhụrụ, Henderson","Saudi Pro-League Is Exciting –Al Ettifaq New Signing, Henderson"
ekpughere: Man United kpachaara anya bịanye aka na Amrabat merụrụ ahụ site na Fiorentina,REVEALED: Man United Deliberately Signed Injured Amrabat From Fiorentina
A chụrụ Setien dị ka onye njikwa Villarreal,Setien Sacked As Villarreal Manager
Qatar 2022 iko mba ụwa gbara Messi imeri - Van Gaal kwuru,Qatar 2022 World Cup Rigged For Messi To Win — Van Gaal Claims
A chụrụ onye nkuzi mmeri mmeri nke ụmụ nwanyị Spen 2023,Spanish Women’s 2023 World Cup Winning Coach Sacked
2023 Qualifier AFCON: Peseiro bịarutere Uyo n'ihu Sao Tome na esemokwu Principe,2023 AFCON Qualifier: Peseiro Arrives Uyo Ahead Sao Tome And Principe Clash
2023 AFCON Qualifier: CAF kpọrọ onye ọkaikpe Algerian maka Naịjirịa Vs Sao Tome,2023 AFCON Qualifier: CAF Names Algerian Referee For Nigeria Vs Sao Tome
Chukwuemeka Na-enweta Ihe nrite Chelsea nke ọnwa,Chukwuemeka Up For Chelsea’s Goal Of The Month Award
Ayew meriri Eze na Crystal Palace onye ọkpụkpọ nke ọnwa nke August,Ayew Beats Eze To Crystal Palace Player Of The Month Award For August
Capello: Napoli abụghị otu otu ọzọ,Capello: Napoli Not The Same Team Again
Felix ga-enye Barca ọtụtụ nhọrọ -Xavi,Felix Will Offer Barca Lots Of Options –Xavi
2023 AFCON Qualifier: Super Eagles meghere ogige maka Sao Tome na Principe Wednesday,2023 AFCON Qualifier: Super Eagles Open Camp For Sao Tome And Principe Wednesday
"Onye isi: Ramos sonyeere Sevilla, rịọ ndị Fans ka ha gbaghara ya","OFFICIAL: Ramos Joins Sevilla, Begs Fans To Forgive Him"
Disasi chọrọ oge iji kwekọọ na bọọlụ Premier League -Gallas,Disasi Needs Time To Adapt To Premier League Football –Gallas
Enyimba Congratulate Olorunleke Following Super Eagles Invitation,Enyimba Congratulate Olorunleke Following Super Eagles Invitation
"Nanị: Boniface, Orban abụghị ihe iyi egwu nye Osimhen na Super Eagles - Ugbade","Exclusive: Boniface, Orban Not A Threat To Osimhen In Super Eagles –Ugbade"
Leverkusen zigaara Boniface ozi ekele na oku Super Eagles mbụ,Leverkusen Send Congratulatory Message To Boniface On First Super Eagles Call-Up
Man Utd gbara Arsenal ezigbo egwuregwu -Ten Hag,Man Utd Played A Good Game Against Arsenal –Ten Hag
Onye minista egwuregwu chọrọ mmeri megide Sao Tome na Principe dị ka onyinye nnabata,Sports Minister Wants Victory Against Sao Tome And Principe As Welcome Gift
Mmerụ ahụ Partey adịghị mma — Arteta,Partey’s Injury Doesn’t Look Good —Arteta
Neymar: Ọ bụ hell na ụwa maka Messi na mụ na PSG,Neymar: It Was Hell On Earth For Messi And I At PSG
Sancho boro Hag iri na-eme ka ọ bụrụ ewu maka nkatọ ọzụzụ,Sancho Accuses Ten Hag Of Making Him A Scapegoat Over Training Criticism
Premier League: Arsenal na-agba ọsọ iji merie Man United na Emirates,Premier League : Arsenal Rally To Beat Man United At Emirates
Szoboslai nwere obi ụtọ ka o nyechara Liverpool goolu mbụ,Szoboslai Thrilled After Scoring First Goal For Liverpool
"Naanị: Peseiro nabatara mbelata ụgwọ, gbatịa nkwekọrịta dị ka Boniface, Orban nweta ịkpọku Super Eagles maka ọgụ Sao Tome","EXCLUSIVE: Peseiro Accepts Pay Cut, Extends Contract As Boniface, Orban Get Super Eagles Call-Up For Sao Tome Clash"
Fernandes meriri Man Utd Player nke ọnwa,Fernandes Wins Man Utd Player Of The Month
Lewandowski boro ndị ọka ikpe ebubo igbu egwuregwu La Liga,Lewandowski Accuses Referees Of Killing La Liga Game
Pochettino na-ekwusi ike na Chelsea ka na-ewu ụlọ mgbe mfuchara ọhịa,Pochettino Insists Chelsea Still Building After Loss To Forest
Serie A: Lookman kwadoro ka Atalanta meriri Monza,Serie A: Lookman Subbed On As Atalanta Overcome Monza
Mmeri megide Fulham dị ezigbo mkpa maka Man City - Haaland,Win Against Fulham Very Important For Man City —Haaland
Iso ntozu AFCON 2023: Sao Tome ewepụtala mmadụ iri abụọ na otu maka ọgụ Super Eagles.,2023 AFCON Qualifier: Sao Tome Unveil 21-Man Squad For Super Eagles Clash
Arsenal vs Man United ga-abụ egwuregwu na-atọ ụtọ - Arteta,Arsenal Vs Man United Will Be An Entertaining Game –Arteta
"UCL: PSG, Dortmund, AC Milan abụghị ihe iyi egwu nye Newcastle -Howe","UCL: PSG, Dortmund, AC Milan Not A Threat To Newcastle –Howe"
Enweghị m ike ịzụ ahịa Vlahovic maka Osimhen -Weah,I Can Never Trade Vlahovic For Osimhen –Weah
"2023 US meghere: Wozniacki, Ostapenko meriri American Pair, Brady, Pera Ga-eru agba nke 16","2023 US Open: Wozniacki, Ostapenko Defeat American Pair, Brady, Pera To Reach Round of 16"
"Ten Hag: Adị m njikere ịhapụ Hojlund, Reguilon megide Arsenal","Ten Hag: I’m Ready To Unleash Hojlund, Reguilon Against Arsenal"
EPL: Luton nwere ike iju West Ham –Burke,EPL: Luton Can Shock West Ham –Burke
"Nanị: N'adịghị ka Osimhen, M gaara anabata ego bara ụba mmanụ nke Saudi League -Esin","Exclusive: Unlike Osimhen, I Would Have Accepted Saudi League Oil Rich Money –Esin"
UCL: AC Milan Na Otu Ọnwụ -Baresi,UCL: AC Milan In A Group Of Death –Baresi
"Ihe osise UCL 2023/24: Man United ga-eche Bayern ihu, Napoli dọtara megide Real Madrid","2023/24 UCL Draw: Man United To Face Bayern, Napoli Drawn Against Real Madrid"
Ọbịbịa Lukaku ga-agbanwe Roma –Totti,Lukaku’s Arrival Will Transform Roma –Totti
UEFA ewepụla olileanya ndị klọb Saudi nke ịsọ mpi na asọmpi European,UEFA Rules Out Saudi Clubs’ Hope Of Playing In European Competitions
Lukaku mezuru ego mgbazinye ego na AS Roma sitere na Chelsea,Lukaku Completes Loan Switch To AS Roma From Chelsea
Man United nwere mmerụ ahụ ọzọ n'ihu ọgụ Arsenal,Man United Suffer Another Injury Setback Ahead Arsenal Clash
"Mgbe Osimhen gasịrị, Lautaro bụ onye kachasị ike na Serie A –Bergomi","After Osimhen, Lautaro Is The Strongest In Serie A –Bergomi"
"Carabao Cup: Man United, Man City, Chelsea nwetara ndị mmegide aghụghọ","Carabao Cup: Man United, Man City, Chelsea Get Tricky Opponents"
Chelsea ekwenyela £ 45 nde nkwekọrịta maka Palmer,Chelsea Agree £45 Million Deal For Palmer
Mercy Nku kelere ọkwa Enoh ka ọ bụrụ onye minista egwuregwu Naịjirịa,Mercy Nku Hails Appointment Of Enoh As Nigeria’s Sports Minister
Nanị: Okoye nwere ike ịtụte ọrụ na Udinese –Aikhoumogbe,Exclusive: Okoye Can Revive Career At Udinese –Aikhoumogbe
Eriksen: Man United anọghị na tebụl EPL,Eriksen: Man United Not In Right Place On EPL Table
"Enzo, Mmekọrịta Caicedo ga-eme ka Chelsea sie ike - Fabregas","Enzo, Caicedo Partnership Will Make Chelsea Strong –Fabregas"
Gusau na-ekwe nkwa kọmitii nka nka nke nkwado NFF na ọrụ otu mba,Gusau Assures Technical Committee Of NFF Support In National Teams Tasks
Nanị: NFF na-enye Peseiro Ultimatum ụbọchị atọ ịnakwere mbelata ụgwọ ma ọ bụ kwụsị.,Exclusive: NFF Gives Peseiro Three-Day Ultimatum To Accept Pay Cut Or Quit
Lopez bịanyere aka na nkwekọrịta ọhụrụ na Barcelona,Lopez Signs New Contract With Barcelona
Vinicius Jr chere ihu mkpuru okwu n'akụkụ mgbe mmerụ ahụ gasịrị,Vinicius Jr Faces Spell On Sidelines After Injury
Nanị: Osimhen nwere ike ịfe ndekọ Yekini na Super Eagles –Esin,Exclusive: Osimhen Can Surpass Yekini’s Records In Super Eagles –Esin
Otu Nigeria esila n'asọmpi mba ụwa na-alọta na-enweghị nrite maka oge nke iri na otu!,Team Nigeria Returns From World Championships Without Medal For 11th Time!
Klopp toro mmeri nlọghachite Liverpool megide Newcastle,Klopp Praises Liverpool’s Comeback Win Against Newcastle
Ihe kpatara Salah nwere ike hapụ Liverpool - Fowler,Why Salah May Leave Liverpool –Fowler
